Type Frequency
western 224
re 224
receive 224
buy 224
details 223
contracts 223
buys 223
finance 223
however 222
get 222
directors 222
division 222
vs 221
agency 221
estimates 220
better 220
closed 220
federal 220
filing 220
new 219
estimate 219
holders 219
began 218
equity 218
scheduled 218
quoted 218
last 217
europe 217
reduction 217
return 216
although 215
exploration 215
become 215
order 215
tomorrow 215
leading 214
right 214
growing 214
disclosed 214
up 214
allow 213
small 213
declared 213
situation 213
strike 213
g 213
savings 213
total 212
company 212
equipment 212
local 211
adding 211
dutch 211
few 210
first 210
analysts 210
shareholder 210
canada 210
needed 209
stability 209
morning 209
from 208
gave 208
natural 208
fixed 208
decided 208
credits 208
mine 207
soybean 207
yet 207
key 206
increases 206
distribution 206
want 205
sharply 205
industries 205
shr 205
central 205
sharp 204
mark 204
slightly 204
undisclosed 204
provision 204
discount 204
boost 203
indonesia 203
proposals 203
t 202
it 202
ct 202
soon 200
going 200
delivery 199
workers 199
study 199
shipments 199
ag 199
hit 198
producing 198
seeking 198
cuts 198
produced 197
america 197
korea 196
exporters 195
james 195
interests 195
six 195
iranian 195
offering 195
continuing 194
again 194
stock 194
dome 194
some 193
food 193
sell 193
e 193
states 192
reflect 192
issues 192
economic 192
people 192
consider 192
council 191
an 191
like 191
steel 191
prices 191
diluted 191
state 190
working 190
twa 190
australian 189
businesses 189
field 189
taking 188
daily 188
dollars 188
keep 188
service 188
delegates 188
review 187
repurchase 187
pre 187
pipeline 187
resources 186
shipment 186
believe 186
seek 186
de 186
increasing 186
policies 186
supplies 185
wheat 185
related 185
deposits 185
owns 184
option 184
lending 183
volume 183
heavy 183
initial 183
force 183
offer 183
liquidity 182
mainly 182
problem 182
investor 182
concern 181
bond 181
potential 181
committee 181
financial 181
feet 181
ico 181
place 180
significant 180
copper 180
africa 180
ministry 179
reserve 179
remaining 179
consumers 179
industry 178
venture 178
by 178
consumption 178
rise 177
february 177
caused 176
sterling 176
union 176
seasonally 176
coffee 176
don 175
improved 174
arabia 174
form 174
acquisition 174
d 174
billion 173
trust 173
current 173
bp 173
beef 172
shipping 172
ounces 172
march 172
announcement 172
case 172
ecuador 172
american 172
immediately 171
director 170
operation 170
press 170
senate 170
prime 170
says 170
fund 169
limit 169
falling 169
limited 168
holds 168
quarterly 168
development 167
pretax 167
enough 167
rules 167
foreign 166
changed 166
ships 165
totalled 165
mid 165
agreement 165
manager 165
rather 165
chairman 165
systems 165
vice 165
interview 164
options 164
similar 163
holdings 163
overall 163
political 163
bid 163
court 163
international 163
winter 163
periods 163
tariffs 162
purchased 162
quarterly 162
brazilian 162
maize 161
factors 161
agricultural 161
bankers 161
performance 161
required 161
insurance 161
able 160
port 160
affected 160
substantial 160
has 160
offers 160
j 160
nearly 159
dlrs 159
merger 159
necessary 159
seen 159
manufacturing 159
expansion 159
earned 159
weather 159
plc 159
acquisitions 159
minister 158
almost 158
efforts 158
beginning 158
statistics 158
council 158
crude 158
rejected 158
that 157
commodity 157
produce 157
turnover 157
east 157
earlier 157
war 157
italy 157
ahead 156
gross 156
session 156
guilders 156
bring 156
provided 155
plus 154
head 154
you 154
feb 154
jan 154
cyclops 154
maintain 153
yeutter 153
institute 153
city 153
law 153
partnership 152
other 152
seen 152
economist 152
with 152
longer 152
acres 152
legislation 151
difficult 151
industries 151
kong 150
existing 150
provisions 150
reach 150
said 150
officer 150
capital 150
dropped 150
remains 150
package 149
transactions 149
gnp 149
discuss 149
p 149
begin 149
sale 149
pound 149
rice 148
competitive 148
orders 148
lost 148
revenue 148
information 148
lawson 148
certificates 148
us 147
dispute 147
crops 147
add 147
nation 147
points 147
hong 146
exports 146
call 146
greater 146
two 146
charges 146
reports 146
offset 146
cent 146
improve 146
oils 146
shell 146
talks 145
week 145
wednesday 145
extended 144
considering 144
started 144
official 144
attempt 144
shearson 144
fully 144
principle 144
partners 143
top 143
unlikely 143
cotton 143
view 142
paper 142
improvement 142
expenses 142
split 142
normal 141
came 141
prospects 141
government 141
aimed 141
customers 141
tuesday 141
h 141
closing 141
credit 141
oecd 141
lyng 140
filed 140
bags 140
expand 139
left 139
unless 139
minimum 139
controls 139
completes 139
notes 139
refinery 139
measure 138
competition 138
important 138
sugar 138
terms 138
dlr 138
risk 138
ccc 138
cover 137
shortage 137
properties 137
prepared 137
reason 137
unemployment 137
involved 137
predicted 137
production 137
sells 137
posted 137
released 137
outlook 136
fall 136
former 136
met 136
remained 136
source 136
round 136
forecasts 136
corn 136
particularly 135
kuwait 135
discussions 135
newspaper 135
took 135
versus 135
agriculture 135
convertible 135
regulatory 135
loan 135
hard 134
traded 134
no 134
accepted 134
dividends 134
monetary 134
computer 134
tonnes 134
systems 134
fuel 134
power 133
project 133
partners 133
gencorp 133
ton 133
drilling 133
crowns 132
gas 132
chicago 132
spot 132
purolator 132
majority 131
spain 131
believed 131
research 131
monthly 131
stores 131
icco 131
considered 130
question 130
swiss 130
cause 130
activity 130
accept 130
subsidies 130
accounting 129
prime 129
primary 129
ore 129
property 129
iraq 129
voting 129
sec 129
california 129
definitive 129
corporate 129
yield 129
damage 128
asked 128
authorities 128
aid 128
holdings 128
follows 127
developing 127
accounts 127
zealand 127
soybeans 127
grow 127
gdp 127
palm 126
largely 126
won 126
intent 126
failed 126
dixons 126
grain 125
looking 125
flow 125
settlement 125
assistance 125
cannot 125
restated 125
effort 124
rubber 124
temporary 124
moves 124
allowed 124
clear 124
combined 124
standard 124
retail 124
warner 124
prior 124
cut 124
taxes 123
john 123
officials 123
entered 123
tender 123
quality 123
items 123
try 123
harvest 123
opened 123
petroleum 123
land 123
dealers 122
rises 122
stg 122
night 122
reflected 122
means 122
formed 122
india 122
deficit 121
overseas 121
bonus 121
best 121
while 121
equivalent 121
wholly 121
full 121
savings 121
ussr 121
malaysia 120
outside 120
operate 120
needs 120
coming 120
louvre 120
saw 120
sea 120
assets 120
profit 119
percentage 119
bonds 119
recovery 119
estate 119
speculation 119
imported 119
makes 119
specific 119
run 118
ruling 118
find 118
benefit 118
process 118
services 118
cubic 118
construction 118
lynch 118
warrants 118
feed 118
either 117
richard 117
singapore 117
stable 117
grade 117
partly 117
service 117
cuts 117
dealer 117
wanted 117
complete 116
gasoline 116
not 116
band 116
national 116
attack 116
ship 116
management 116
office 116
organization 116
retaliation 115
building 115
home 115
investments 115
trend 115
requirements 115
canadian 115
privately 115
basic 115
employees 115
serious 114
technology 114
calendar 114
valued 114
buyout 114
activities 114
allied 114
provisional 114
office 113
vote 113
security 113
buyers 113
region 113
face 113
chemical 113
rest 113
facilities 113
borg 113
television 113
followed 112
materials 112
no 112
robert 112
insurance 112
projected 112
colombia 112
raising 112
hutton 112
family 112
exclude 112
taft 112
helped 111
imports 111
substantially 111
along 111
believes 111
reserves 111
chrysler 111
proceeds 111
merrill 111
prevent 110
meetings 110
various 110
treasury 110
growth 110
slow 110
benefits 110
series 110
higher 110
dollar 110
preliminary 110
administration 110
ordinary 109
these 109
hectares 109
although 109
brought 109
stood 109
one 109
deposit 109
progress 109
barley 109
price 108
parent 108
mining 108
to 108
stop 108
san 108
controlled 108
sugar 108
itself 108
wants 108
ounce 108
dec 108
named 107
nakasone 107
r 107
request 107
weekly 107
having 107
export 107
amounts 107
january 107
systems 107
failure 106
trust 106
cutting 106
expectations 106
class 106
possibility 106
debentures 106
acquisition 106
royal 106
commodities 105
trying 105
look 105
court 105
poehl 105
all 105
act 105
equal 105
4th 105
gaf 105
done 105
hope 105
indicated 105
light 105
affect 105
express 105
commodity 104
direct 104
subsidiaries 104
share 104
investment 104
fields 104
financial 104
african 104
rises 104
others 104
adjustment 104
piedmont 104
acreage 104
whole 103
gold 103
concerned 103
crisis 103
significantly 103
share 103
authorized 103
imf 103
miyazawa 103
semiconductor 103
hours 103
venezuela 103
military 103
grew 102
suit 102
towards 102
groups 102
completion 102
dec 102
vegetable 102
stocks 102
processing 102
cargo 101
grain 101
medium 101
northern 101
maximum 101
report 101
positive 101
facility 101
remarks 101
texaco 101
forward 100
weak 100
output 100
opening 100
agree 100
firm 100
weekend 100
parts 100
designed 100
found 100
coffee 100
cattle 100
rates 100
csr 100
cable 100
pending 100
thailand 99
reducing 99
instead 99
know 99
post 99
morgan 99
acquire 99
silver 99
cpc 99
quickly 98
agency 98
export 98
continental 98
sanctions 98
single 98
especially 98
generally 98
subsidy 98
z 98
associates 98
release 98
industrial 97
paul 97
relatively 97
compares 97
times 97
david 97
cooperation 97
averaged 97
interested 97
giving 97
independent 97
savings 97
banking 97
together 97
granted 97
thursday 97
every 97
communications 97
block 96
went 96
visit 96
strategy 96
pact 96
registered 96
german 96
away 96
access 96
actions 96
wall 96
white 96
newly 96
she 96
worldwide 96
loans 96
different 96
lower 96
restrictions 95
corporation 95
street 95
chinese 95
immediate 95
life 95
intends 95
warned 95
calls 95
boston 95
borrowings 95
brown 95
rose 95
biggest 94
tin 94
customer 94
urged 94
ecus 94
shares 94
excess 94
brothers 94
computer 94
legal 94
require 94
moving 94
general 94
values 94
tax 94
moscow 94
lbs 94
commission 94
arab 94
association 93
laws 93
telephone 93
mexico 93
franc 93
external 93
afternoon 93
continues 93
off 93
strength 93
rand 93
application 93
resulted 92
vessels 92
confirmed 92
bids 92
summer 92
old 92
plants 92
totaled 92
chemical 92
personal 92
deposits 92
houses 92
build 92
step 92
southern 92
reform 91
lot 91
requirement 91
its 91
tariffs 91
gold 91
nil 91
resulting 91
using 91
cumulative 91
meat 91
ranging 91
fact 91
yields 91
caesars 91
mean 90
raw 90
known 90
mines 90
chance 90
role 90
steady 90
ownership 90
expressed 90
sees 90
as 90
stoltenberg 90
resources 90
leaders 90
subcommittee 90
supply 90
water 90
though 90
imposed 89
after 89
most 89
negative 89
representatives 89
stock 89
stockholders 89
bureau 89
security 89
avoid 89
air 89
targets 89
ab 89
prime 89
coal 88
miti 88
w 88
tax 88
lowered 88
factor 88
planted 88
southern 88
approximately 88
suspended 88
santa 88
sumita 88
lines 88
spokeswoman 88
alternative 88
consideration 88
home 88
survey 87
turnover 87
offshore 87
soybean 87
lehman 87
starting 87
rev 87
brazil 87
programs 87
negotiating 87
sept 87
recorded 87
comments 87
originally 87
borrowing 87
protectionist 86
encourage 86
mining 86
health 86
currency 86
ability 86
signs 86
1st 86
qtr 86
gas 86
volcker 86
ceiling 86
exxon 86
priced 86
whose 85
stimulate 85
life 85
protect 85
note 85
ease 85
traders 85
course 85
world 85
launched 84
big 84
banks 84
market 84
sectors 84
plans 84
stabilise 84
steel 84
house 84
grains 84
johnson 84
resources 84
positions 84
purposes 84
commitments 84
car 84
trader 84
falls 84
successful 84
bushels 84
kuwaiti 84
unfair 84
hughes 84
seamen 84
products 83
china 83
smaller 83
malaysian 83
trading 83
introduced 83
steps 83
huge 83
intended 83
maker 83
drought 83
speech 83
earnings 83
sign 83
global 83
delayed 83
negotiate 83
tendered 83
principal 83
wage 83
baker 83
sosnoff 83
storage 82
energy 82
forced 82
profitable 82
pesos 82
entire 82
risen 82
sought 82
nippon 82
sent 82
exceed 82
sales 82
netherlands 82
inventory 82
technical 82
claims 82
toward 82
liabilities 82
with 82
electric 81
fund 81
spring 81
exported 81
regular 81
more 81
reporting 81
parties 81
oper 81
reflecting 81
another 81
accounted 81
test 81
asset 81
south 81
news 81
fats 81
bulk 80
push 80
zinc 80
french 80
turkey 80
premium 80
determined 80
relations 79
michael 79
smith 79
soft 79
willing 79
discussed 79
abroad 79
paying 79
western 79
class 79
statistics 79
pressures 79
bancorp 79
commitment 79
wheat 79
gulf 79
confident 78
limits 78
two 78
associated 78
ratio 78
underlying 78
exports 78
recession 78
condition 78
set 78
regular 78
practices 78
smelter 78
operating 78
projects 78
larger 78
will 78
ports 77
forces 77
developments 77
party 77
follow 77
anticipated 77
duty 77
statements 77
thought 77
qtly 77
voted 77
jobs 77
stocks 76
confidence 76
philippines 76
employment 76
rains 76
lb 76
stabilize 76
iv 76
ways 76
treasury 76
overnight 76
telecommunications 76
economies 76
operates 76
electronic 76
pacific 76
santos 76
subordinated 76
domestic 76
sheet 76
x 76
behind 76
corporation 76
expenditure 76
eep 76
grades 75
east 75
ve 75
placed 75
hopes 75
effects 75
stage 75
excluding 75
cocoa 75
both 75
developed 75
mar 75
quarter 74
separate 74
river 74
active 74
end 74
south 74
pension 74
norway 74
margins 74
dollar 74
bankers 74
represents 74
houston 74
material 74
once 74
modest 74
business 74
institutions 74
appears 74
lowest 74
appropriate 74
authority 74
anti 74
participation 73
brokers 73
food 73
consolidated 73
buyer 73
surplus 73
depreciation 73
growers 73
running 73
combination 73
fe 73
scale 73
mortgage 73
transfer 73
stores 73
diplomats 73
data 73
organisation 73
brokerage 73
baldrige 73
matter 72
possibly 72
optimistic 72
ready 72
expire 72
depressed 72
threatened 72
highest 72
clayton 72
denied 72
metal 72
seven 72
plan 72
coast 72
reflects 72
defense 72
system 72
particular 72
him 72
committed 72
bilateral 72
atlantic 72
miles 72
union 72
airlines 72
strongly 72
budget 72
floor 72
opposed 72
belgian 72
guarantees 72
writedown 72
asia 71
impose 71
semiconductors 71
commercial 71
approve 71
fee 71
operators 71
nothing 71
dry 71
merge 71
poor 71
spanish 71
achieve 71
develop 71
passed 71
upward 71
illinois 71
broad 71
appeared 71
amc 71
hoped 70
governments 70
invest 70
resolve 70
surpluses 70
acquires 70
rumors 70
harcourt 70
airline 70
research 70
since 70
original 70
decide 70
relief 70
representative 69
gets 69
sides 69
described 69
setting 69
shortfall 69
planting 69
acquiring 69
intervened 69
italian 69
via 69
burlington 69
staff 69
break 69
reference 69
ems 69
fire 69
opposition 69
stand 68
exchange 68
hands 68
industrial 68
ruled 68
interest 68
size 68
chase 68
direction 68
after 68
de 68
brings 68
today 68
william 68
throughout 68
formal 68
published 68
be 68
dumping 68
greece 68
affiliate 68
connection 68
say 68
adopted 68
ups 68
protection 68
ohio 68
tankers 68
ibc 68
electronics 67
bad 67
business 67
side 67
representing 67
across 67
approvals 67
ends 67
middle 67
transport 67
metals 67
div 67
extend 67
renewed 67
declining 67
closely 67
contributed 67
cargoes 67
carry 67
futures 67
three 67
auction 67
y 67
taiwan 67
allegheny 67
turn 66
rubber 66
create 66
stronger 66
determine 66
nominal 66
creditors 66
portion 66
reductions 66
further 66
employers 66
weakness 66
intervene 66
reynolds 66
am 66
anything 66
fair 66
gmt 66
really 66
enable 66
tariff 66
ranges 66
fundamentals 66
suggested 66
yen 66
chips 66
doing 66
identified 66
credit 66
primarily 66
bbl 66
fears 65
indonesian 65
enter 65
attributed 65
white 65
fresh 65
inventories 65
lire 65
five 65
chancellor 65
bringing 65
takeover 65
she 65
purchase 65
results 65
contribution 65
pricing 65
aluminium 65
platform 65
barriers 64
refined 64
leave 64
al 64
strategic 64
quarters 64
beet 64
division 64
chemicals 64
april 64
exercise 64
program 64
provides 64
write 64
intention 64
narrow 64
adjustments 64
federal 64
established 64
citicorp 64
refused 64
wholesale 64
daily 63
planning 63
natural 63
hearing 63
status 63
reaction 63
traditional 63
curb 63
lack 63
mark 63
workforce 63
expects 63
offices 63
seasonal 63
customer 63
earnings 63
florida 63
county 63
structure 63
pakistan 63
cited 63
interest 63
compromise 63
debate 63
v 63
freight 63
products 63
alternatives 63
threat 63
oper 63
highly 63
competitiveness 63
movements 62
located 62
ask 62
fallen 62
sa 62
lift 62
trust 62
marketing 62
carried 62
decrease 62
economists 62
lme 62
bales 62
argentina 62
banks 62
covering 62
exploration 62
shipped 62
partner 62
sentiment 61
tough 61
foreign 61
movement 61
circulation 61
scheme 61
shortly 61
supported 61
producers 61
live 61
communique 61
medical 61
awarded 61
carryforward 61
double 61
initiative 61
retain 61
regional 61
operated 61
talk 61
upon 61
period 61
usx 61
actual 61
sulphur 61
louisiana 61
engineering 61
differentials 61
missiles 61
hurt 60
focus 60
licences 60
disclose 60
except 60
takes 60
cabinet 60
duties 60
against 60
therefore 60
hostile 60
approach 60
bancorp 60
banker 60
circumstances 60
payable 60
cocoa 60
achieved 60
converted 60
declines 60
earn 60
allowing 60
broadly 60
ten 60
technology 60
moved 60
rule 60
petroleum 60
end 60
dart 60
gencorp 60
kind 59
shift 59
opportunities 59
div 59
sold 59
recommended 59
data 59
makers 59
minority 59
boosted 59
cane 59
severe 59
consolidated 59
seeks 59
imports 59
sun 59
downward 59
sorghum 59
cold 59
about 59
mths 59
pa 59
store 59
calif 59
motors 59
egypt 59
company 59
extent 59
wireless 59
cooperation 59
nearby 59
yesterday 59
video 59
st 59
bill 59
soviets 59
use 59
list 59
difficulties 59
opec 59
australian 58
decisions 58
extension 58
mines 58
pretax 58
why 58
moment 58
opportunity 58
charged 58
getting 58
enterprises 58
help 58
swedish 58
governor 58
uk 58
agrees 58
eastern 58
waiting 58
according 58
wide 58
cooperate 58
is 58
retaliate 58
peru 58
sweden 58
stated 58
bankruptcy 58
components 58
viacom 58
fairchild 58
manufacturers 57
establish 57
among 57
things 57
act 57
alone 57
hand 57
extremely 57
crop 57
deliveries 57
belgium 57
aircraft 57
public 57
jointly 57
stores 57
house 57
collapse 57
leader 57
today 57
feel 57
minister 57
opinion 57
indicate 57
policy 57
certificate 57
great 57
the 57
satisfactory 57
starts 57
businessmen 56
concerns 56
expanded 56
ensure 56
introduction 56
bond 56
eased 56
thus 56
sunday 56
housing 56
delay 56
certainly 56
regulations 56
resume 56
currency 56
intervention 56
reorganization 56
ferruzzi 56
intend 56
great 56
goal 56
providing 56
france 56
price 56
us 56
moderate 56
gencorp 56
example 56
start 56
mill 56
inra 56
emergency 55
reasonable 55
affecting 55
mostly 55
bell 55
central 55
totalling 55
noting 55
stay 55
counter 55
ual 55
disease 55
obtain 55
body 55
soviet 55
requested 55
3rd 55
recover 55
investment 55
returned 55
usair 55
wells 55
coins 55
indian 55
wti 55
api 55
federation 54
profitability 54
cases 54
seriously 54
farm 54
agricultural 54
profits 54
created 54
refining 54
reports 54
given 54
ringgit 54
plantings 54
chip 54
angeles 54
traders 54
dutch 54
aim 54
meal 54
m 54
specialty 54
leveraged 54
never 54
annually 54
carryforwards 54
united 54
despite 54
advance 54
room 54
concluded 54
west 54
obligations 54
george 54
evidence 54
shows 54
raise 54
recommendation 54
proceed 54
operator 54
over 54
gap 54
election 54
current 54
sure 54
damaged 54
zambia 54
eddie 54
incentives 54
machinery 54
bass 54
asian 53
prices 53
debts 53
expires 53
bidding 53
fast 53
backed 53
kilos 53
saturday 53
weight 53
retained 53
stressed 53
computer 53
icahn 53
comes 53
advanced 53
showing 53
expense 53
campaign 53
book 53
leaving 53
directly 53
terminal 53
co 53
st 53
rep 53
elaborate 53
begun 53
imbalances 53
consistent 53
adequate 53
apply 53
representative 53
success 53
labour 53
martin 53
director 53
transcanada 53
rejects 53
crazy 53
policy 53
aide 53
yr 53
chemlawn 53
advantage 52
ends 52
unions 52
latin 52
merged 52
fluctuations 52
amstutz 52
institute 52
thai 52
managers 52
reverse 52
appreciation 52
philippine 52
represented 52
linked 52
demands 52
expected 52
eventually 52
unable 52
waters 52
dividend 52
itc 52
core 52
columbia 52
seems 52
requires 52
imperial 52
summit 52
money 52
three 52
republic 52
clearly 52
uncertainty 52
bonn 52
bushel 52
zero 52
attacks 52
postings 52
exporting 51
textile 51
protest 51
widely 51
replace 51
our 51
pushed 51
portugal 51
attention 51
something 51
speculative 51
normally 51
metal 51
meant 51
when 51
accord 51
manufacturing 51
preference 51
executives 51
portfolio 51
many 51
buyout 51
spread 51
expensive 51
community 51
objective 51
deals 51
behalf 51
contained 51
air 51
became 51
let 51
deficits 51
gross 51
submitted 51
arrangement 51
prev 51
by 51
mobil 51
shut 51
transportation 51
harper 51
herrington 51
alleged 50
halt 50
beyond 50
network 50
shown 50
felt 50
province 50
5p 50
debit 50
balances 50
far 50
six 50
increasingly 50
lloyds 50
rapid 50
falls 50
pace 50
reasons 50
steel 50
rain 50
nv 50
computers 50
makes 50
edelman 50
concentrate 50
exchanges 50
of 50
inflationary 50
telecommunications 50
talking 50
reaffirmed 50
algeria 50
encouraging 50
switzerland 50
vessel 50
make 50
harris 50
more 50
free 50
importers 50
guarantee 50
books 50
utility 50
equity 50
organization 50
supermarkets 50
transport 50
emery 50
row 49
broker 49
drain 49
faster 49
excessive 49
gained 49
favour 49
massive 49
heavily 49
favourable 49
expanding 49
grounds 49
reiterated 49
board 49
also 49
improving 49
spent 49
sterling 49
distributed 49
covered 49
recapitalization 49
attractive 49
guilder 49
solution 49
record 49
terminated 49
debt 49
unchanged 49
depend 49
dealers 49
defend 49
midland 49
oilseeds 49
